run_num,num_in,variables,seed,epochs,batchsize,learnrate,reg1,reg2,node1,node2,fun1,fun2,trloss,teloss,shloss,trainPE,testPE,showPE,trainCC,testCC,showCC,TT
53,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1600,300,0.011,0.001,0.001,25,25,selu,sigmoid,0.276192,0.31006100000000003,0.307743,0.887084,0.8584700000000001,0.8287120000000001,0.942649,0.927167,0.914335,99.601064
54,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,5,1600,300,0.011000000000000001,0.001,0.001,25,25,selu,sigmoid,0.275537,0.311342,0.30793899999999996,0.887631,0.857299,0.828357,0.942917,0.9265459999999999,0.914135,98.65944499999999
55,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,6,1600,300,0.011,0.001,0.001,25,25,selu,sigmoid,0.277294,0.311658,0.308293,0.886214,0.8570139999999999,0.827991,0.94206,0.926326,0.914145,99.323802
61,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1400,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.277512,0.30845,0.30901999999999996,0.8860030000000001,0.859923,0.8267530000000001,0.941486,0.927449,0.914055,89.313108
62,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,3,1400,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.276725,0.308344,0.309424,0.886648,0.8600180000000001,0.8262459999999999,0.941803,0.927456,0.913739,89.513279
63,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1400,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.275955,0.308692,0.308043,0.8872459999999999,0.8596959999999999,0.828092,0.942159,0.92732,0.9143819999999999,89.503123
64,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,5,1400,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.275523,0.309024,0.308395,0.887659,0.8593790000000001,0.82726,0.942375,0.927108,0.914023,89.617389
65,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,6,1400,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.277179,0.31006500000000004,0.309763,0.88628,0.858475,0.8258790000000001,0.941629,0.926637,0.913607,89.404803
71,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.277387,0.310204,0.307385,0.886114,0.858326,0.829083,0.942007,0.927046,0.914786,102.580684
72,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,3,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.27681500000000003,0.309792,0.307923,0.886591,0.858725,0.828567,0.9422520000000001,0.9272889999999999,0.9144450000000001,99.331076
73,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.276097,0.310564,0.30739,0.887144,0.8579889999999999,0.829218,0.942616,0.926866,0.914807,99.990688
74,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,5,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.275439,0.31111300000000003,0.307125,0.887748,0.857475,0.829304,0.942895,0.9266030000000001,0.9146700000000001,100.475484
75,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,6,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.277098,0.311385,0.308408,0.886357,0.8572569999999999,0.827923,0.942087,0.92641,0.914224,99.223133
81,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1600,300,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.27685,0.310073,0.307915,0.886559,0. 858424,0.828413,0.942168,0.927016,0.914543,107.456869
82,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,3,1600,300,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.276457,0.309657,0.307612,0.886878,0.858817,0.828772,0.942341,0.927271,0.914807,101.18788
83,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1600,300,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.27624,0.310215,0.306975,0.887058,0.8583069999999999,0.8294879999999999,0.9424799999999999,0.926955,0.91515,99.305313
84,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,5,1600,300,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.27528600000000003,0.310725,0.307842,0.8878780000000001,0.857816,0.8285399999999999,0.942898,0.926673,0.914453,99.828858
85,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,6,1600,300,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.27634000000000003,0.310682,0.3079 9099999999996,0.88697,0.857873,0.82837,0.942412,0.926716,0.9146139999999999,99.812335
91,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1600,200,0.01,0.001,0.001,25,25,selu,sigmoid,0.287594,0.310434,0.310605,0.8776209999999999,0.858143,0.825896,0.939182,0.92789,0.913738,88.410472
92,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,3,1600,200,0.01,0.001,0.001,25,25,selu,sigmoid,0.286754,0.310275,0.311307,0.878343,0.858264,0.825095,0.939602,0.927926,0.9134680000000001,87.95371899999998
93,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1600,200,0.01,0.001,0.001,25,25,selu,sigmoid,0.286533,0.309352,0.310019,0.878533,0.859107,0.826456,0.939746,0.928293,0.913808,88.824147
94,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,5,1600,200,0.01,0.001,0.001,25,25,selu,sigmoid,0.285644,0.310006,0.311116,0.879266,0.858522,0.825256,0.940053,0.9281719999999999,0.913551,88.838321
95,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,6,1600,200,0.01,0.001,0.001,25,25,selu,sigmoid,0.287865,0.311241,0.312556,0.87739,0.857405,0.8237389999999999,0.939319,0.927767,0.913117,88.445596
101,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1500,200,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.28239699999999995,0.310489,0.308247,0.8819629999999999,0.858047,0.8279219999999999,0.939785,0.926558,0.913544,97.530302
102,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,3,1500,200,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.281914,0.310992,0.308777,0.8823559999999999,0.857567,0.827398,0.940019,0.926332,0.913611,93.427763
103,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1500,200,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.281642,0.31,0.307091,0.8825790000000001,0.858458,0.829134,0.940206,0.926784,0.9139450000000001,89.333383
104,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,5,1500,200,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.28103,0.310847,0.308097,0.883102,0.857684,0.8278629999999999,0.940418,0.92629,0.913557,88.368542
105,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,6,1500,200,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.281908,0.31185300000000005,0.308789,0.882374,0.856788,0.827443,0.94,0.9259209999999999,0.9135209999999999,88.69945799999998
111,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1600,200,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.286404,0.31019,0.310808,0.8786360000000001,0.858346,0.8256530000000001,0.939591,0.928064,0.913615,99.615654
121,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1600,300,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.27685,0.310073,0.307915,0.886559,0.858424,0.828413,0.942168,0.927016,0.914543,107.159176
122,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,3,1600,300,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.276457,0.309657,0.307612,0.886878,0.858817,0.828772,0.942341,0.927271,0.914807,111.998056
123,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1600,300,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.27624,0.310215,0.306975,0.887058,0.858307,0.8294879999999999,0.9424799999999999,0.926955,0.91515,114.371278
124,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,5,1600,300,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.27528600000000003,0.310725,0.307842,0.8878780000000001,0.857816,0.8285399999999999,0.942898,0.926673,0.914453,115.918666
